Identifier:,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,
   6,    -193,   -0.0012,    -209,   -0.0026,      16,    0.0002,    -351,   -0.0021,    -101,   -0.0012,    -250,   -0.0031,    -422,   -0.0013,      60,    0.0004,    -482,   -0.0029,   -1072,   -0.0033,    -681,   -0.0042,    -391,   -0.0024,    -290,   -0.0009,      91,    0.0006,    -381,   -0.0023,    -767,   -0.0012,    -573,   -0.0017,    -194,   -0.0006,    -848,   -0.0013,    -401,   -0.0012,    -447,   -0.0014,   -1194,   -0.0018,    -665,   -0.0020,    -529,   -0.0016,    -372,   -0.0023,    -152,   -0.0019,    -220,   -0.0027,
   7,    -178,   -0.0011,    -199,   -0.0024,      21,    0.0003,    -349,   -0.0021,     -98,   -0.0012,    -251,   -0.0031,    -423,   -0.0013,      69,    0.0004,    -492,   -0.0030,   -1111,   -0.0034,    -693,   -0.0042,    -418,   -0.0026,    -285,   -0.0009,     101,    0.0006,    -386,   -0.0024,    -712,   -0.0011,    -539,   -0.0016,    -173,   -0.0005,    -812,   -0.0012,    -414,   -0.0013,    -398,   -0.0012,   -1186,   -0.0018,    -650,   -0.0020,    -536,   -0.0016,    -354,   -0.0022,    -148,   -0.0018,    -206,   -0.0025,
   8,    -157,   -0.0010,    -187,   -0.0023,      30,    0.0004,    -344,   -0.0021,     -92,   -0.0011,    -252,   -0.0031,    -421,   -0.0013,      69,    0.0004,    -490,   -0.0030,   -1130,   -0.0034,    -692,   -0.0042,    -438,   -0.0027,    -284,   -0.0009,     115,    0.0007,    -399,   -0.0024,    -662,   -0.0010,    -507,   -0.0015,    -155,   -0.0005,    -760,   -0.0012,    -412,   -0.0013,    -348,   -0.0011,   -1178,   -0.0018,    -641,   -0.0020,    -537,   -0.0016,    -333,   -0.0020,    -156,   -0.0019,    -177,   -0.0022,
   9,    -133,   -0.0008,    -173,   -0.0021,      40,    0.0005,    -335,   -0.0020,     -83,   -0.0010,    -252,   -0.0031,    -415,   -0.0013,      63,    0.0004,    -478,   -0.0029,   -1124,   -0.0034,    -680,   -0.0042,    -444,   -0.0027,    -281,   -0.0009,     134,    0.0008,    -415,   -0.0025,    -624,   -0.0010,    -482,   -0.0015,    -142,   -0.0004,    -700,   -0.0011,    -392,   -0.0012,    -308,   -0.0009,   -1168,   -0.0018,    -638,   -0.0019,    -530,   -0.0016,    -309,   -0.0019,    -171,   -0.0021,    -138,   -0.0017,
  10,    -108,   -0.0007,    -158,   -0.0019,      50,    0.0006,    -322,   -0.0020,     -74,   -0.0009,    -248,   -0.0030,    -403,   -0.0012,      57,    0.0003,    -460,   -0.0028,   -1090,   -0.0033,    -658,   -0.0040,    -432,   -0.0026,    -274,   -0.0008,     155,    0.0009,    -429,   -0.0026,    -599,   -0.0009,    -467,   -0.0014,    -132,   -0.0004,    -643,   -0.0010,    -359,   -0.0011,    -284,   -0.0009,   -1157,   -0.0018,    -642,   -0.0020,    -515,   -0.0016,    -287,   -0.0018,    -190,   -0.0023,     -97,   -0.0012,
  11,     -84,   -0.0005,    -143,   -0.0017,      59,    0.0007,    -306,   -0.0019,     -68,   -0.0008,    -238,   -0.0029,    -384,   -0.0012,      55,    0.0003,    -439,   -0.0027,   -1037,   -0.0032,    -632,   -0.0039,    -405,   -0.0025,    -258,   -0.0008,     177,    0.0011,    -435,   -0.0027,    -588,   -0.0009,    -463,   -0.0014,    -125,   -0.0004,    -596,   -0.0009,    -316,   -0.0010,    -280,   -0.0009,   -1141,   -0.0017,    -648,   -0.0020,    -493,   -0.0015,    -265,   -0.0016,    -207,   -0.0025,     -58,   -0.0007,
  12,     -64,   -0.0004,    -130,   -0.0016,      66,    0.0008,    -288,   -0.0018,     -65,   -0.0008,    -223,   -0.0027,    -360,   -0.0011,      61,    0.0004,    -421,   -0.0026,    -973,   -0.0030,    -608,   -0.0037,    -365,   -0.0022,    -235,   -0.0007,     195,    0.0012,    -430,   -0.0026,    -589,   -0.0009,    -469,   -0.0014,    -120,   -0.0004,    -568,   -0.0009,    -272,   -0.0008,    -296,   -0.0009,   -1122,   -0.0017,    -654,   -0.0020,    -468,   -0.0014,    -247,   -0.0015,    -217,   -0.0026,     -30,   -0.0004,
  13,     -52,   -0.0003,    -120,   -0.0015,      68,    0.0008,    -271,   -0.0017,     -67,   -0.0008,    -204,   -0.0025,    -331,   -0.0010,      79,    0.0005,    -410,   -0.0025,    -909,   -0.0028,    -590,   -0.0036,    -319,   -0.0019,    -204,   -0.0006,     209,    0.0013,    -413,   -0.0025,    -594,   -0.0009,    -480,   -0.0015,    -114,   -0.0003,    -562,   -0.0009,    -235,   -0.0007,    -327,   -0.0010,   -1099,   -0.0017,    -656,   -0.0020,    -443,   -0.0014,    -233,   -0.0014,    -217,   -0.0026,     -16,   -0.0002,
  14,     -46,   -0.0003,    -113,   -0.0014,      67,    0.0008,    -255,   -0.0016,     -74,   -0.0009,    -181,   -0.0022,    -301,   -0.0009,     107,    0.0007,    -408,   -0.0025,    -859,   -0.0026,    -583,   -0.0036,    -276,   -0.0017,    -167,   -0.0005,     218,    0.0013,    -385,   -0.0023,    -599,   -0.0009,    -492,   -0.0015,    -107,   -0.0003,    -575,   -0.0009,    -210,   -0.0006,    -365,   -0.0011,   -1071,   -0.0016,    -650,   -0.0020,    -421,   -0.0013,    -221,   -0.0013,    -205,   -0.0025,     -16,   -0.0002,
  15,     -44,   -0.0003,    -108,   -0.0013,      64,    0.0008,    -242,   -0.0015,     -84,   -0.0010,    -158,   -0.0019,    -273,   -0.0008,     143,    0.0009,    -416,   -0.0025,    -828,   -0.0025,    -587,   -0.0036,    -241,   -0.0015,    -128,   -0.0004,     221,    0.0013,    -349,   -0.0021,    -594,   -0.0009,    -499,   -0.0015,     -95,   -0.0003,    -600,   -0.0009,    -202,   -0.0006,    -398,   -0.0012,   -1043,   -0.0016,    -637,   -0.0019,    -406,   -0.0012,    -212,   -0.0013,    -182,   -0.0022,     -30,   -0.0004,
  16,     -45,   -0.0003,    -104,   -0.0013,      59,    0.0007,    -233,   -0.0014,     -95,   -0.0012,    -138,   -0.0017,    -249,   -0.0008,     183,    0.0011,    -432,   -0.0026,    -823,   -0.0025,    -602,   -0.0037,    -221,   -0.0013,     -91,   -0.0003,     219,    0.0013,    -310,   -0.0019,    -576,   -0.0009,    -497,   -0.0015,     -79,   -0.0002,    -628,   -0.0010,    -209,   -0.0006,    -419,   -0.0013,   -1012,   -0.0015,    -615,   -0.0019,    -397,   -0.0012,    -203,   -0.0012,    -152,   -0.0019,     -51,   -0.0006,
  17,     -46,   -0.0003,    -100,   -0.0012,      54,    0.0007,    -227,   -0.0014,    -106,   -0.0013,    -121,   -0.0015,    -230,   -0.0007,     223,    0.0014,    -453,   -0.0028,    -841,   -0.0026,    -623,   -0.0038,    -218,   -0.0013,     -58,   -0.0002,     216,    0.0013,    -274,   -0.0017,    -542,   -0.0008,    -483,   -0.0015,     -59,   -0.0002,    -650,   -0.0010,    -229,   -0.0007,    -421,   -0.0013,    -983,   -0.0015,    -587,   -0.0018,    -396,   -0.0012,    -193,   -0.0012,    -120,   -0.0015,     -73,   -0.0009,
  18,     -44,   -0.0003,     -95,   -0.0012,      51,    0.0006,    -222,   -0.0014,    -113,   -0.0014,    -109,   -0.0013,    -217,   -0.0007,     256,    0.0016,    -473,   -0.0029,    -874,   -0.0027,    -644,   -0.0039,    -230,   -0.0014,     -33,   -0.0001,     214,    0.0013,    -247,   -0.0015,    -493,   -0.0008,    -457,   -0.0014,     -36,   -0.0001,    -655,   -0.0010,    -254,   -0.0008,    -401,   -0.0012,    -955,   -0.0015,    -556,   -0.0017,    -399,   -0.0012,    -180,   -0.0011,     -91,   -0.0011,     -89,   -0.0011,
  19,     -36,   -0.0002,     -87,   -0.0011,      51,    0.0006,    -219,   -0.0013,    -116,   -0.0014,    -103,   -0.0013,    -210,   -0.0006,     279,    0.0017,    -489,   -0.0030,    -913,   -0.0028,    -661,   -0.0040,    -252,   -0.0015,     -17,   -0.0001,     214,    0.0013,    -231,   -0.0014,    -432,   -0.0007,    -421,   -0.0013,     -11,   -0.0000,    -639,   -0.0010,    -278,   -0.0008,    -361,   -0.0011,    -929,   -0.0014,    -525,   -0.0016,    -404,   -0.0012,    -163,   -0.0010,     -70,   -0.0009,     -93,   -0.0011,
  20,     -22,   -0.0001,     -77,   -0.0009,      55,    0.0007,    -214,   -0.0013,    -114,   -0.0014,    -100,   -0.0012,    -204,   -0.0006,     291,    0.0018,    -495,   -0.0030,    -945,   -0.0029,    -669,   -0.0041,    -276,   -0.0017,      -7,   -0.0000,     219,    0.0013,    -226,   -0.0014,    -368,   -0.0006,    -380,   -0.0012,      12,    0.0000,    -600,   -0.0009,    -292,   -0.0009,    -308,   -0.0009,    -904,   -0.0014,    -498,   -0.0015,    -406,   -0.0012,    -141,   -0.0009,     -60,   -0.0007,     -81,   -0.0010,
  21,      -1,   -0.0000,     -63,   -0.0008,      62,    0.0008,    -206,   -0.0013,    -107,   -0.0013,     -99,   -0.0012,    -199,   -0.0006,     292,    0.0018,    -491,   -0.0030,    -959,   -0.0029,    -664,   -0.0041,    -295,   -0.0018,      -2,   -0.0000,     230,    0.0014,    -232,   -0.0014,    -306,   -0.0005,    -339,   -0.0010,      33,    0.0001,    -542,   -0.0008,    -291,   -0.0009,    -251,   -0.0008,    -881,   -0.0013,    -478,   -0.0015,    -403,   -0.0012,    -117,   -0.0007,     -62,   -0.0008,     -55,   -0.0007,
  22,      24,    0.0001,     -47,   -0.0006,      71,    0.0009,    -195,   -0.0012,     -98,   -0.0012,     -97,   -0.0012,    -190,   -0.0006,     286,    0.0017,    -476,   -0.0029,    -947,   -0.0029,    -645,   -0.0039,    -302,   -0.0018,       2,    0.0000,     245,    0.0015,    -243,   -0.0015,    -254,   -0.0004,    -304,   -0.0009,      50,    0.0002,    -473,   -0.0007,    -273,   -0.0008,    -200,   -0.0006,    -858,   -0.0013,    -465,   -0.0014,    -393,   -0.0012,     -91,   -0.0006,     -73,   -0.0009,     -18,   -0.0002,
  23,      51,    0.0003,     -30,   -0.0004,      81,    0.0010,    -178,   -0.0011,     -87,   -0.0011,     -91,   -0.0011,    -176,   -0.0005,     277,    0.0017,    -453,   -0.0028,    -909,   -0.0028,    -617,   -0.0038,    -292,   -0.0018,      10,    0.0000,     263,    0.0016,    -253,   -0.0015,    -216,   -0.0003,    -279,   -0.0009,      63,    0.0002,    -405,   -0.0006,    -240,   -0.0007,    -165,   -0.0005,    -832,   -0.0013,    -458,   -0.0014,    -374,   -0.0011,     -64,   -0.0004,     -90,   -0.0011,      26,    0.0003,
  24,      77,    0.0005,     -13,   -0.0002,      90,    0.0011,    -159,   -0.0010,     -78,   -0.0010,     -81,   -0.0010,    -155,   -0.0005,     271,    0.0017,    -426,   -0.0026,    -847,   -0.0026,    -582,   -0.0036,    -265,   -0.0016,      24,    0.0001,     283,    0.0017,    -259,   -0.0016,    -194,   -0.0003,    -265,   -0.0008,      71,    0.0002,    -344,   -0.0005,    -195,   -0.0006,    -149,   -0.0005,    -804,   -0.0012,    -456,   -0.0014,    -348,   -0.0011,     -39,   -0.0002,    -107,   -0.0013,      68,    0.0008,
  25,      99,    0.0006,       2,    0.0000,      97,    0.0012,    -139,   -0.0008,     -73,   -0.0009,     -66,   -0.0008,    -129,   -0.0004,     271,    0.0017,    -400,   -0.0024,    -772,   -0.0024,    -548,   -0.0033,    -224,   -0.0014,      47,    0.0001,     300,    0.0018,    -253,   -0.0015,    -184,   -0.0003,    -261,   -0.0008,      77,    0.0002,    -301,   -0.0005,    -146,   -0.0004,    -155,   -0.0005,    -771,   -0.0012,    -454,   -0.0014,    -317,   -0.0010,     -16,   -0.0001,    -118,   -0.0014,     102,    0.0012,
  26,     115,    0.0007,      15,    0.0002,     100,    0.0012,    -117,   -0.0007,     -72,   -0.0009,     -45,   -0.0005,     -97,   -0.0003,     282,    0.0017,    -379,   -0.0023,    -692,   -0.0021,    -518,   -0.0032,    -174,   -0.0011,      77,    0.0002,     313,    0.0019,    -236,   -0.0014,    -183,   -0.0003,    -266,   -0.0008,      83,    0.0003,    -279,   -0.0004,    -101,   -0.0003,    -178,   -0.0005,    -735,   -0.0011,    -450,   -0.0014,    -285,   -0.0009,       2,    0.0000,    -120,   -0.0015,     122,    0.0015,
  27,     123,    0.0008,      24,    0.0003,      99,    0.0012,     -97,   -0.0006,     -76,   -0.0009,     -21,   -0.0003,     -64,   -0.0002,     304,    0.0019,    -368,   -0.0022,    -622,   -0.0019,    -498,   -0.0030,    -124,   -0.0008,     114,    0.0003,     320,    0.0020,    -206,   -0.0013,    -183,   -0.0003,    -273,   -0.0008,      90,    0.0003,    -279,   -0.0004,     -68,   -0.0002,    -211,   -0.0006,    -696,   -0.0011,    -440,   -0.0013,    -256,   -0.0008,      18,    0.0001,    -109,   -0.0013,     127,    0.0016,
  28,     126,    0.0008,      31,    0.0004,      95,    0.0012,     -80,   -0.0005,     -84,   -0.0010,       4,    0.0000,     -30,   -0.0001,     336,    0.0021,    -366,   -0.0022,    -571,   -0.0017,    -490,   -0.0030,     -81,   -0.0005,     155,    0.0005,     322,    0.0020,    -167,   -0.0010,    -177,   -0.0003,    -277,   -0.0008,     100,    0.0003,    -294,   -0.0004,     -50,   -0.0002,    -244,   -0.0007,    -655,   -0.0010,    -422,   -0.0013,    -233,   -0.0007,      30,    0.0002,     -88,   -0.0011,     118,    0.0014,
  29,     125,    0.0008,      36,    0.0004,      89,    0.0011,     -66,   -0.0004,     -94,   -0.0011,      28,    0.0003,      -1,   -0.0000,     373,    0.0023,    -374,   -0.0023,    -545,   -0.0017,    -493,   -0.0030,     -52,   -0.0003,     194,    0.0006,     318,    0.0019,    -124,   -0.0008,    -158,   -0.0002,    -273,   -0.0008,     115,    0.0004,    -315,   -0.0005,     -49,   -0.0001,    -266,   -0.0008,    -611,   -0.0009,    -395,   -0.0012,    -216,   -0.0007,      40,    0.0002,     -58,   -0.0007,      98,    0.0012,
  30,     124,    0.0008,      41,    0.0005,      83,    0.0010,     -56,   -0.0003,    -104,   -0.0013,      48,    0.0006,      22,    0.0001,     410,    0.0025,    -388,   -0.0024,    -544,   -0.0017,    -505,   -0.0031,     -39,   -0.0002,     229,    0.0007,     312,    0.0019,     -83,   -0.0005,    -124,   -0.0002,    -258,   -0.0008,     134,    0.0004,    -334,   -0.0005,     -63,   -0.0002,    -271,   -0.0008,    -569,   -0.0009,    -361,   -0.0011,    -208,   -0.0006,      52,    0.0003,     -23,   -0.0003,      75,    0.0009,
  31,     124,    0.0008,      46,    0.0006,      78,    0.0010,     -49,   -0.0003,    -112,   -0.0014,      63,    0.0008,      39,    0.0001,     443,    0.0027,    -404,   -0.0025,    -563,   -0.0017,    -519,   -0.0032,     -44,   -0.0003,     257,    0.0008,     305,    0.0019,     -48,   -0.0003,     -75,   -0.0001,    -231,   -0.0007,     156,    0.0005,    -340,   -0.0005,     -85,   -0.0003,    -255,   -0.0008,    -528,   -0.0008,    -323,   -0.0010,    -205,   -0.0006,      65,    0.0004,       9,    0.0001,      56,    0.0007,
  32,     129,    0.0008,      53,    0.0006,      76,    0.0009,     -44,   -0.0003,    -116,   -0.0014,      72,    0.0009,      51,    0.0002,     467,    0.0029,    -416,   -0.0025,    -591,   -0.0018,    -531,   -0.0032,     -60,   -0.0004,     276,    0.0008,     300,    0.0018,     -24,   -0.0001,     -12,   -0.0000,    -192,   -0.0006,     180,    0.0005,    -325,   -0.0005,    -108,   -0.0003,    -217,   -0.0007,    -489,   -0.0007,    -284,   -0.0009,    -205,   -0.0006,      82,    0.0005,      35,    0.0004,      47,    0.0006,
  33,     141,    0.0009,      64,    0.0008,      77,    0.0009,     -37,   -0.0002,    -114,   -0.0014,      77,    0.0009,      59,    0.0002,     479,    0.0029,    -420,   -0.0026,    -617,   -0.0019,    -534,   -0.0033,     -83,   -0.0005,     287,    0.0009,     300,    0.0018,     -13,   -0.0001,      57,    0.0001,    -147,   -0.0004,     204,    0.0006,    -287,   -0.0004,    -124,   -0.0004,    -163,   -0.0005,    -453,   -0.0007,    -248,   -0.0008,    -205,   -0.0006,     102,    0.0006,      50,    0.0006,      52,    0.0006,
  34,     159,    0.0010,      77,    0.0009,      82,    0.0010,     -28,   -0.0002,    -107,   -0.0013,      79,    0.0010,      65,    0.0002,     479,    0.0029,    -414,   -0.0025,    -627,   -0.0019,    -525,   -0.0032,    -102,   -0.0006,     293,    0.0009,     305,    0.0019,     -12,   -0.0001,     124,    0.0002,    -101,   -0.0003,     225,    0.0007,    -229,   -0.0003,    -127,   -0.0004,    -102,   -0.0003,    -419,   -0.0006,    -219,   -0.0007,    -200,   -0.0006,     126,    0.0008,      53,    0.0006,      73,    0.0009,
  35,     183,    0.0011,      93,    0.0011,      90,    0.0011,     -17,   -0.0001,     -97,   -0.0012,      80,    0.0010,      73,    0.0002,     470,    0.0029,    -397,   -0.0024,    -615,   -0.0019,    -503,   -0.0031,    -112,   -0.0007,     295,    0.0009,     315,    0.0019,     -20,   -0.0001,     184,    0.0003,     -59,   -0.0002,     243,    0.0007,    -157,   -0.0002,    -113,   -0.0003,     -44,   -0.0001,    -385,   -0.0006,    -197,   -0.0006,    -188,   -0.0006,     153,    0.0009,      45,    0.0005,     108,    0.0013,
  36,     209,    0.0013,     110,    0.0013,      99,    0.0012,      -1,   -0.0000,     -85,   -0.0010,      84,    0.0010,      87,    0.0003,     457,    0.0028,    -370,   -0.0023,    -576,   -0.0018,    -470,   -0.0029,    -106,   -0.0006,     299,    0.0009,     328,    0.0020,     -29,   -0.0002,     230,    0.0004,     -25,   -0.0001,     255,    0.0008,     -81,   -0.0001,     -82,   -0.0003,       1,    0.0000,    -351,   -0.0005,    -183,   -0.0006,    -168,   -0.0005,     180,    0.0011,      30,    0.0004,     150,    0.0018,
  37,     234,    0.0014,     127,    0.0016,     107,    0.0013,      19,    0.0001,     -74,   -0.0009,      93,    0.0011,     106,    0.0003,     443,    0.0027,    -337,   -0.0021,    -510,   -0.0016,    -428,   -0.0026,     -82,   -0.0005,     309,    0.0009,     344,    0.0021,     -35,   -0.0002,     259,    0.0004,      -4,   -0.0000,     263,    0.0008,     -11,   -0.0000,     -38,   -0.0001,      27,    0.0001,    -315,   -0.0005,    -175,   -0.0005,    -140,   -0.0004,     207,    0.0013,      13,    0.0002,     194,    0.0024,
  38,     257,    0.0016,     143,    0.0017,     114,    0.0014,      40,    0.0002,     -66,   -0.0008,     106,    0.0013,     132,    0.0004,     436,    0.0027,    -304,   -0.0019,    -428,   -0.0013,    -385,   -0.0023,     -43,   -0.0003,     326,    0.0010,     358,    0.0022,     -32,   -0.0002,     274,    0.0004,       6,    0.0000,     268,    0.0008,      43,    0.0001,      13,    0.0000,      30,    0.0001,    -276,   -0.0004,    -169,   -0.0005,    -107,   -0.0003,     231,    0.0014,       0,    0.0000,     231,    0.0028,
  39,     273,    0.0017,     156,    0.0019,     117,    0.0014,      63,    0.0004,     -62,   -0.0008,     125,    0.0015,     163,    0.0005,     438,    0.0027,    -275,   -0.0017,    -338,   -0.0010,    -345,   -0.0021,       7,    0.0000,     352,    0.0011,     369,    0.0023,     -17,   -0.0001,     277,    0.0004,       6,    0.0000,     271,    0.0008,      77,    0.0001,      63,    0.0002,      14,    0.0000,    -233,   -0.0004,    -162,   -0.0005,     -71,   -0.0002,     250,    0.0015,      -5,   -0.0001,     255,    0.0031,
  40,     282,    0.0017,     166,    0.0020,     116,    0.0014,      85,    0.0005,     -64,   -0.0008,     149,    0.0018,     196,    0.0006,     451,    0.0028,    -255,   -0.0016,    -253,   -0.0008,    -314,   -0.0019,      61,    0.0004,     384,    0.0012,     374,    0.0023,      10,    0.0001,     276,    0.0004,       2,    0.0000,     274,    0.0008,      88,    0.0001,     103,    0.0003,     -15,   -0.0000,    -187,   -0.0003,    -150,   -0.0005,     -37,   -0.0001,     265,    0.0016,       1,    0.0000,     264,    0.0032,
