Identifier:,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,IHS7044-20214I01,,,,,,
File Name:,SQRA25A.2,,,,,,SQRA25A.3,,,,,,SQRA25A.4,,,,,,SQRA25A.5,,,,,,SQRA25A.6,,,,,,SQRA25A.7,,,,,,SQRA25A.8,,,,,,SQRA25A.9,,,,,,SQRA25A.1,,,,,,
Ear:,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,
Channel:,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,
Buffer:,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,
Intensity:,25,,,,,,25,,,,,,25,,,,,,25,,,,,,25,,,,,,25,,,,,,25,,,,,,25,,,,,,25,,,,,,
Stim. Rate:, 37.10,,,,,, 37.10,,,,,, 37.10,,,,,, 37.10,,,,,, 37.10,,,,,, 37.10,,,,,, 37.10,,,,,, 37.10,,,,,, 37.10,,,,,,
Stim. Mode:,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,
Sweeps:,500,,,,,,500,,,,,,1000,,,,,,1000,,,,,,1000,,,,,,2000,,,,,,2000,,,,,,2000,,,,,,500,,,,,,
Artifacts:,0,,,,,,0,,,,,,0,,,,,,2,,,,,,0,,,,,,1,,,,,,0,,,,,,0,,,,,,0,,,,,,
Smp. Period:,50.00,,,,,,50.00,,,,,,50.00,,,,,,50.00,,,,,,50.00,,,,,,50.00,,,,,,50.00,,,,,,50.00,,,,,,50.00,,,,,,
Amp. Gain:,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,
Low Pass:,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,
High Pass:,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,
Notch Filter:,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,
Stimulus:,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,
Stim. Freq.,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,
Stim. Dur.:,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,
Masking:,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,
Zero Position:,530,,,,,,530,,,,,,530,,,,,,530,,,,,,530,,,,,,530,,,,,,530,,,,,,530,,,,,,530,,,,,,
Data Pnt:,Average:,Average(uV):,Buffer1:,Buffer1(uV):,Buffer2:,Buffer2(uV):,Average:,Average(uV):,Buffer1:,Buffer1(uV):,Buffer2:,Buffer2(uV):,Average:,Average(uV):,Buffer1:,Buffer1(uV):,Buffer2:,Buffer2(uV):,Average:,Average(uV):,Buffer1:,Buffer1(uV):,Buffer2:,Buffer2(uV):,Average:,Average(uV):,Buffer1:,Buffer1(uV):,Buffer2:,Buffer2(uV):,Average:,Average(uV):,Buffer1:,Buffer1(uV):,Buffer2:,Buffer2(uV):,Average:,Average(uV):,Buffer1:,Buffer1(uV):,Buffer2:,Buffer2(uV):,Average:,Average(uV):,Buffer1:,Buffer1(uV):,Buffer2:,Buffer2(uV):,Average:,Average(uV):,Buffer1:,Buffer1(uV):,Buffer2:,Buffer2(uV):,
   1,    -196,   -0.0012,    -223,   -0.0027,      27,    0.0003,    -362,   -0.0022,     -58,   -0.0007,    -304,   -0.0037,    -477,   -0.0015,    -106,   -0.0006,    -371,   -0.0023,    -926,   -0.0028,    -558,   -0.0034,    -368,   -0.0022,    -409,   -0.0012,      86,    0.0005,    -495,   -0.0030,    -904,   -0.0014,    -623,   -0.0019,    -281,   -0.0009,    -755,   -0.0012,    -302,   -0.0009,    -453,   -0.0014,   -1253,   -0.0019,    -747,   -0.0023,    -506,   -0.0015,    -410,   -0.0025,    -268,   -0.0033,    -142,   -0.0017,
   2,    -199,   -0.0012,    -222,   -0.0027,      23,    0.0003,    -355,   -0.0022,     -69,   -0.0008,    -286,   -0.0035,    -456,   -0.0014,     -68,   -0.0004,    -388,   -0.0024,    -920,   -0.0028,    -575,   -0.0035,    -345,   -0.0021,    -375,   -0.0011,      89,    0.0005,    -464,   -0.0028,    -905,   -0.0014,    -634,   -0.0019,    -271,   -0.0008,    -792,   -0.0012,    -304,   -0.0009,    -488,   -0.0015,   -1241,   -0.0019,    -741,   -0.0023,    -500,   -0.0015,    -407,   -0.0025,    -246,   -0.0030,    -161,   -0.0020,
   3,    -201,   -0.0012,    -220,   -0.0027,      19,    0.0002,    -351,   -0.0021,     -81,   -0.0010,    -270,   -0.0033,    -440,   -0.0013,     -28,   -0.0002,    -412,   -0.0025,    -936,   -0.0029,    -600,   -0.0037,    -336,   -0.0021,    -345,   -0.0011,      88,    0.0005,    -433,   -0.0026,    -892,   -0.0014,    -636,   -0.0019,    -256,   -0.0008,    -828,   -0.0013,    -320,   -0.0010,    -508,   -0.0016,   -1227,   -0.0019,    -726,   -0.0022,    -501,   -0.0015,    -402,   -0.0025,    -218,   -0.0027,    -184,   -0.0022,
   4,    -204,   -0.0012,    -219,   -0.0027,      15,    0.0002,    -351,   -0.0021,     -92,   -0.0011,    -259,   -0.0032,    -430,   -0.0013,       9,    0.0001,    -439,   -0.0027,    -973,   -0.0030,    -630,   -0.0038,    -343,   -0.0021,    -319,   -0.0010,      87,    0.0005,    -406,   -0.0025,    -863,   -0.0013,    -625,   -0.0019,    -238,   -0.0007,    -854,   -0.0013,    -346,   -0.0011,    -508,   -0.0016,   -1215,   -0.0019,    -707,   -0.0022,    -508,   -0.0016,    -396,   -0.0024,    -190,   -0.0023,    -206,   -0.0025,
   5,    -201,   -0.0012,    -215,   -0.0026,      14,    0.0002,    -350,   -0.0021,     -98,   -0.0012,    -252,   -0.0031,    -424,   -0.0013,      40,    0.0002,    -464,   -0.0028,   -1022,   -0.0031,    -659,   -0.0040,    -363,   -0.0022,    -301,   -0.0009,      87,    0.0005,    -388,   -0.0024,    -819,   -0.0012,    -603,   -0.0018,    -216,   -0.0007,    -862,   -0.0013,    -376,   -0.0011,    -486,   -0.0015,   -1203,   -0.0018,    -685,   -0.0021,    -518,   -0.0016,    -386,   -0.0024,    -166,   -0.0020,    -220,   -0.0027,
